"Anthony Landes",,,,
"Chris Frost",,,,
"Christopher Gaskell",,,,
"Gary Peart",,,,
"Geraldine Coggins","Q63929043","2019 United Kingdom general election","Altrincham and Sale West","Green Party of England and Wales"
"Ian Chappell",,,,
"Iram Kiani",,,,
"James Wright",,,,
"Jane Baugh",,,,
"John Stockton",,,,
"Jonathan Stephens",,,,
"Kenneth Bullman",,,,
"Marc Ramsbottom",,,,
"Neil Taylor","Q76130826","2019 United Kingdom general election","Altrincham and Sale West","The Liberal Party"
"Nick Robertson-Brown",,,,
"Richard Mrozinski",,,,
"Tom Ross",,,,
